Ref,Val,Package,PosX,PosY,Rot,Side
"C202","1000p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-30.000000,61.000000,180.000000,bottom
"C204","1000p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.000000,61.000000,180.000000,bottom
"C205","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",2.000000,36.000000,-90.000000,bottom
"C302","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-101.800000,45.600000,-90.000000,bottom
"C305","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-109.237500,50.100000,0.000000,bottom
"C316","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-109.237500,18.200000,0.000000,bottom
"C318","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-101.800000,13.400000,-90.000000,bottom
"C402","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-33.000000,47.000000,90.000000,bottom
"C403","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-47.000000,48.000000,90.000000,bottom
"C405","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-3.900000,35.700000,0.000000,bottom
"C501","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-95.200000,61.200000,0.000000,bottom
"C502","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-76.000000,32.000000,0.000000,bottom
"C503","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-71.000000,32.000000,0.000000,bottom
"C504","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-78.000000,50.200000,90.000000,bottom
"CR201","S1A","SMA-SAR",-28.000000,50.000000,180.000000,bottom
"E201","FB0805","L_0805_2012Metric",-31.000000,58.000000,90.000000,bottom
"E203","FB0805","L_0805_2012Metric",-20.000000,58.000000,90.000000,bottom
"E204","FB0805","L_0805_2012Metric",2.000000,31.000000,-90.000000,bottom
"E205","FB0805","L_0805_2012Metric",0.000000,31.000000,-90.000000,bottom
"J201","Conn_01x20","12864_display",-55.000000,32.500000,180.000000,bottom
"Q201","SI2306","SOT23-3-SAR-V2",-83.600000,11.000000,0.000000,bottom
"Q202","SI2306","SOT23-3-SAR-V2",-14.000000,55.000000,-90.000000,bottom
"R201","24","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-88.100000,10.000000,90.000000,bottom
"R202","24","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",-14.000000,48.000000,0.000000,bottom
"R401","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-3.900000,40.000000,180.000000,bottom
"R402","3K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-3.900000,37.900000,0.000000,bottom
"R501","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-17.800000,56.000000,90.000000,bottom
"R502","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-80.200000,10.800000,-90.000000,bottom
"R503","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-69.000000,60.000000,90.000000,bottom
"R504","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,60.000000,90.000000,bottom
"R505","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-65.000000,60.000000,90.000000,bottom
"R506","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-63.000000,60.000000,90.000000,bottom
"R507","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-72.000000,60.000000,-90.000000,bottom
"R508","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-74.000000,60.000000,-90.000000,bottom
"R509","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-76.000000,60.000000,-90.000000,bottom
"R510","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-80.000000,60.000000,-90.000000,bottom
"R511","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-23.000000,28.000000,-90.000000,bottom
"R512","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-18.000000,28.000000,-90.000000,bottom
"R514","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-31.000000,54.000000,90.000000,bottom
"R515","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-23.000000,55.800000,90.000000,bottom
"R519","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-31.000000,11.025000,-90.000000,bottom
"R520","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-52.000000,60.000000,-90.000000,bottom
"R521","470","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-49.000000,60.000000,-90.000000,bottom
"R522","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-92.700000,64.000000,180.000000,bottom
"R523","3.3K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-91.800000,60.300000,-90.000000,bottom
"R524","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-74.000000,41.000000,90.000000,bottom
"R525","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-71.000000,41.000000,90.000000,bottom
"R526","3.3K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-68.000000,41.000000,90.000000,bottom
"U303","Si5351","MSOP-10-SAR",-104.000000,49.000000,90.000000,bottom
"U307","Si5351","MSOP-10-SAR",-104.000000,17.000000,90.000000,bottom
"U502","74LVC1G14","SOT-23-5",-76.000000,36.000000,-90.000000,bottom
"U503","74LVC1G14","SOT-23-5",-71.000000,36.000000,-90.000000,bottom
"C201","470u","CP_Elec_10x10",14.000000,44.000000,0.000000,top
"C203","470u","CP_Elec_10x10",28.000000,46.000000,180.000000,top
"C206","0.1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",4.200000,43.800000,180.000000,top
"C301","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",90.200000,49.400000,90.000000,top
"C303","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.000000,20.000000,-90.000000,top
"C304","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.000000,49.600000,-90.000000,top
"C306","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",77.000000,27.000000,0.000000,top
"C307","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.200000,52.400000,0.000000,top
"C308","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.100000,34.000000,-90.000000,top
"C309","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",99.000000,42.200000,180.000000,top
"C310","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.800000,40.200000,180.000000,top
"C311","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",97.200000,28.600000,90.000000,top
"C312","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.600000,1.362500,-90.000000,top
"C313","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",96.000000,11.000000,180.000000,top
"C314","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.000000,8.600000,0.000000,top
"C315","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.400000,27.800000,0.000000,top
"C317","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",98.400000,16.000000,0.000000,top
"C319","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.400000,23.600000,180.000000,top
"C320","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",89.537500,41.800000,0.000000,top
"C321","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",88.200000,27.800000,-90.000000,top
"C322","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.800000,33.200000,90.000000,top
"C401","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.000000,39.000000,-90.000000,top
"C404","2.2u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",63.800000,40.800000,-90.000000,top
"C601","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",17.000000,4.000000,180.000000,top
"C602","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.400000,11.800000,180.000000,top
"E202","FB0805","L_0805_2012Metric",4.000000,40.000000,0.000000,top
"E301","FB0805","L_0805_2012Metric",86.800000,49.200000,-90.000000,top
"E302","FB0805","L_0805_2012Metric",99.000000,45.600000,90.000000,top
"E303","FB0805","L_0805_2012Metric",98.000000,13.000000,0.000000,top
"E304","FB0805","L_0805_2012Metric",100.200000,27.800000,0.000000,top
"E305","FB0805","L_0805_2012Metric",84.400000,26.600000,180.000000,top
"E306","FB0805","L_0805_2012Metric",85.400000,41.800000,0.000000,top
"J202","CONN2","JST_B2B_XH_A",9.000000,54.000000,-90.000000,top
"J203","CONN2","JST_B2B_XH_A",30.000000,64.000000,0.000000,top
"J204","CONN2","JST_B2B_XH_A",19.000000,64.000000,0.000000,top
"J205","CONN8","JST_B8B_XH_A",-2.000000,48.000000,90.000000,top
"J301","CONN_SMA_LAUNCH","SMA_Launch_Kinghelm_KH-SMA-KE8-G",111.337500,56.000000,90.000000,top
"J302","CONN_SMA_LAUNCH","SMA_Launch_Kinghelm_KH-SMA-KE8-G",111.337500,41.000000,90.000000,top
"J303","CONN_SMA_LAUNCH","SMA_Launch_Kinghelm_KH-SMA-KE8-G",111.337500,25.000000,90.000000,top
"J304","CONN_SMA_LAUNCH","SMA_Launch_Kinghelm_KH-SMA-KE8-G",111.337500,9.000000,90.000000,top
"J501","CONN8","JST_B8B_XH_A",71.000000,64.000000,0.000000,top
"J502","CONN6","JST_B6B_XH_A",48.000000,64.000000,0.000000,top
"J503","CONN2","JST_B2B_XH_A",88.100000,63.925000,0.000000,top
"J504","CONN6","JST_B6B_XH_A",71.750000,47.000000,0.000000,top
"L401","68uH","IND-DRUM-7.8MMx5MM",41.000000,46.000000,180.000000,top
"R301","68","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",95.800000,52.800000,0.000000,top
"R302","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.400000,50.200000,180.000000,top
"R303","33","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.200000,52.800000,0.000000,top
"R304","68","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.800000,20.600000,0.000000,top
"R305","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.000000,24.200000,0.000000,top
