Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800239-102,2,"C202,C204","CAP,0805,C0G/NPO,1000PF,50V",1000p,Open Market,N/A
2,800238-104,6,"C205,C405,C501-C504","CAP,0805,0.1u,50V,X7R",0.1u,Open Market,N/A
3,800063-104,4,"C302,C305,C316,C318","CAP,0603,0.1u,50V,X7R",0.1u,Open Market,N/A
4,800003-106,1,C402,"CAP,0805,10u,25V,X5R",10u,Open Market,N/A
5,800003-225,1,C403,"CAP,0805,2.2u,25V,X5R",2.2u,Open Market,N/A
6,800109-101,1,CR201,"DIODE, RECT,SHOTTKY,1A,50V,SMA",S1A,Fairchild Semiconductor,ES1A
7,800245-601,4,"E201,E203-E205","FERRITE,CHIP,0805,600 ohm,100MHz,500mA",FB0805,Sunlord,GZ2012U601TF
8,800283-020,1,J201,"CONN,SOC,1X20,VERT,0.1 IN PITCH",Conn_01x20,Open Market,N/A
9,800123-101,2,"Q201,Q202","XSTR,MOSFET,N-CH,4.0A,30V,SOT-23",SI2306,Diodes Inc.,DMN3112S-7
9,,,,,,Vishay,SI2306BDS-T1-E3
10,800248-240,2,"R201,R202","RES,2512,24 OHM, 1%,1W",24,Open Market,N/A
11,800235-123,2,"R401,R522","RES,0805,12K,1%",12K,Open Market,N/A
12,800235-302,1,R402,"RES,0805,3K,1%",3K,Open Market,N/A
13,800235-332,10,"R501-R506,R523-R526","RES,0805,3.3K,1%",3.3K,Open Market,N/A
14,800235-221,4,R507-R510,"RES,0805,220,1%",220,Open Market,N/A
15,800235-102,4,"R511,R512,R514,R515","RES,0805,1.0K,1%",1K,Open Market,N/A
16,800235-330,1,R519,"RES,0805,33,1%",33,Open Market,N/A
17,800235-471,2,"R520,R521","RES,0805,470,1%",470,Open Market,N/A
18,800288-101,2,"U303,U307","IC, PROG CLOCK GEN,3 OUTPUT, I2C,MSOP10",Si5351,RUIMENG TECHNOLOGY,MS5351M
18,,,,,,Skyworks,SI5351A-B-GTR
19,800199-101,2,"U502,U503","IC,SCHMITT TRIGGER,INVERTING,2.0-5.5V,SOT23-5",74LVC1G14,Texas Instruments,SN74LVC1G14DBVR
20,XXXXXX-XXX,0,,DNI,DNI,DNI,DNI
